machine_id,machine_type,age_years,operational_hours,temperature_avg,temperature_std,vibration_avg,vibration_std,pressure_avg,rotation_speed_avg,humidity_avg,load_pct,oil_quality_index,days_since_last_maintenance,num_previous_failures,failure_within_14_days
M-0001,Conveyor,5.83,22752.0,56.83,1.78,2.426,0.571,102.36,1739.8,59.5,47.3,91.4,50,1,0
M-0002,Compressor,5.22,14457.0,68.09,1.66,2.815,0.313,124.81,1257.8,32.8,57.6,84.9,44,2,0
M-0003,Conveyor,2.97,8286.0,55.12,1.88,1.698,0.134,111.24,1501.5,68.9,60.3,95.1,17,1,0
M-0004,Motor,2.53,10186.0,66.37,1.92,2.54,0.236,94.63,1287.9,73.5,51.9,84.0,42,2,0
M-0005,Pump,7.15,11877.0,63.99,3.36,2.666,0.393,108.42,1343.9,44.5,43.1,84.6,27,1,0
M-0006,Turbine,6.18,12868.0,65.73,2.63,3.366,0.12,121.33,1798.2,54.1,39.6,93.3,32,0,0
M-0007,Conveyor,3.75,11566.0,55.42,2.6,2.199,0.33,125.47,1494.6,30.8,22.9,87.1,57,0,0
M-0008,Conveyor,7.42,15051.0,65.21,2.16,2.775,0.339,113.68,1343.9,56.7,46.0,95.2,41,1,1
M-0009,Pump,6.15,20502.0,66.11,2.63,2.734,0.499,97.16,1212.0,41.0,76.3,91.9,45,2,0
M-0010,Compressor,3.93,8176.0,72.28,2.74,2.912,0.407,94.25,1057.6,32.8,36.2,88.5,74,0,0
M-0011,Compressor,0.58,1029.0,63.22,2.1,2.406,0.086,107.61,1219.6,43.9,40.4,100.0,21,1,0
M-0012,Turbine,1.12,2300.0,69.53,2.42,3.935,0.419,120.83,1495.3,41.5,97.2,100.0,33,0,0
M-0013,Motor,2.5,6591.0,70.09,2.74,1.452,0.331,104.48,1697.8,43.4,53.5,95.4,47,0,0
M-0014,Conveyor,3.46,6833.0,57.8,2.4,2.247,0.261,103.98,1349.9,61.3,70.8,95.5,80,1,0
M-0015,Compressor,8.71,16226.0,70.64,3.26,3.005,0.393,97.3,1807.0,37.0,76.6,93.9,13,1,0
M-0016,Pump,4.08,15596.0,68.6,2.19,2.832,0.14,92.78,1312.6,72.3,76.9,98.7,66,0,0
M-0017,Motor,3.99,9442.0,59.83,0.92,1.954,0.126,96.38,1432.4,29.4,37.6,100.0,15,1,0
M-0018,Pump,4.59,11354.0,60.34,2.44,2.091,0.234,99.82,1239.1,70.6,60.8,89.4,18,1,0
M-0019,Conveyor,2.68,4425.0,55.62,2.42,2.132,0.238,122.75,1703.3,33.8,35.9,96.2,25,0,0
M-0020,Motor,2.06,5086.0,67.99,3.07,2.163,0.332,93.37,1924.7,48.0,109.0,100.0,5,1,0
M-0021,Conveyor,7.35,16271.0,65.75,3.49,3.716,0.511,96.11,1060.4,41.1,36.3,76.1,97,0,0
